,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,RT @ATT: RT if you’ll be doing the time warp with Frank N. Furter and the gang tonight during @RockyHorrorFOX at 8/7 on @FOXTV. #RockyHorro…,FALSE,0,NA,10/21/2016 0:07,FALSE,NA,7.89E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JameyStyer,10,TRUE,FALSE,NA,NA
2,RT @ATT: AT&amp;T #Fiber - The future of the internet is now! Starting with a 1000 Mbps connection. https://t.co/Rw8zxmVDRY,FALSE,0,NA,10/21/2016 0:02,FALSE,NA,7.89E+17,NA,"<a href=""http://www.robinspost.com/news/"" rel=""nofollow"">Robin's NewsWire Retweets</a>",robinsnewswire,6,TRUE,FALSE,NA,NA
3,RT @ATT: AT&amp;T #Fiber - The future of the internet is now! Starting with a 1000 Mbps connection. https://t.co/Rw8zxmVDRY,FALSE,0,NA,10/21/2016 0:01,FALSE,NA,7.89E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dovesclosetinc,6,TRUE,FALSE,NA,NA
4,RT @ATT: Welcome to the team! @taylorswift13 https://t.co/4h86nLYuLo https://t.co/gAHOi7fPrZ,FALSE,0,NA,10/20/2016 23:56,FALSE,NA,7.89E+17,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",Photogirl1D,6312,TRUE,FALSE,NA,NA
5,@ATT download speed is 3.09 mb/s,FALSE,0,ATT,10/20/2016 23:49,FALSE,NA,7.89E+17,14620190,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",notcaal,0,FALSE,FALSE,NA,NA
6,@ATT wanna maybe make your internet not awful? thanks,FALSE,0,ATT,10/20/2016 23:48,FALSE,NA,7.89E+17,14620190,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",notcaal,0,FALSE,FALSE,NA,NA
7,RT @ATT: RT if you’ll be doing the time warp with Frank N. Furter and the gang tonight during @RockyHorrorFOX at 8/7 on @FOXTV. #RockyHorro…,FALSE,0,NA,10/20/2016 23:40,FALSE,NA,7.89E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",TallTreasure,10,TRUE,FALSE,NA,NA
8,RT @ATT: Get a sweet deal on the new iPhone 7 when you switch to AT&amp;T and have DIRECTV. https://t.co/TQVeUkmeZ6 https://t.co/zfZmNpe8AP,FALSE,0,NA,10/20/2016 23:18,FALSE,NA,7.89E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nnodirov,47,TRUE,FALSE,NA,NA
9,RT @ATT: RT if you’ll be doing the time warp with Frank N. Furter and the gang tonight during @RockyHorrorFOX at 8/7 on @FOXTV. #RockyHorro…,FALSE,0,NA,10/20/2016 23:18,FALSE,NA,7.89E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AndrewKam,10,TRUE,FALSE,NA,NA
10,RT @ATT: RT if you’ll be doing the time warp with Frank N. Furter and the gang tonight during @RockyHorrorFOX at 8/7 on @FOXTV. #RockyHorro…,FALSE,0,NA,10/20/2016 23:06,FALSE,NA,7.89E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kvalandra2,10,TRUE,FALSE,NA,NA
11,Dear @ATT I need customer service please have someone contact me. RE Cell &amp; UVerse,FALSE,0,NA,10/20/2016 23:04,FALSE,NA,7.89E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",UrbanEpicurious,0,FALSE,FALSE,NA,NA
12,RT @ATT: .@BinghamDb and @indicowie go undercover at an @MLS game…and you just have to watch the rest: https://t.co/fGvGIRRfFj https://t.co…,FALSE,0,NA,10/20/2016 23:04,FALSE,NA,7.89E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",leighaa35,4,TRUE,FALSE,NA,NA
13,RT @ATT: RT if you’ll be doing the time warp with Frank N. Furter and the gang tonight during @RockyHorrorFOX at 8/7 on @FOXTV. #RockyHorro…,FALSE,0,NA,10/20/2016 23:02,FALSE,NA,7.89E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sf1476,10,TRUE,FALSE,NA,NA
14,RT @ATT: Get a sweet deal on the new iPhone 7 when you switch to AT&amp;T and have DIRECTV. https://t.co/TQVeUkmeZ6 https://t.co/zfZmNpe8AP,FALSE,0,NA,10/20/2016 23:01,FALSE,NA,7.89E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",CosmicTherapy,47,TRUE,FALSE,NA,NA
