,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,@THEjeffbrown @DIRECTV because REASONS,FALSE,0,THEjeffbrown,10/20/2016 18:42,FALSE,7.89175E+17,7.89175E+17,15998219,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ChrisGouldIs,0,FALSE,FALSE,NA,NA
2,"200 patents during Dale's career @ATT. Thanks to him, I just used my phone to set my @DIRECTV DVR for @insecurehbo! 
https://t.co/4pQWCjnAfn",FALSE,1,NA,10/20/2016 16:28,FALSE,NA,7.89141E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Deanna_APR,0,FALSE,FALSE,NA,NA
3,"@DIRECTV @DIRECTVSports @DIRECTVService Where is NBA League Pass? It's usually available in preseason, regular season starts in 5 days!",FALSE,0,DIRECTV,10/20/2016 14:52,FALSE,NA,7.89117E+17,14946736,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RWileyUH,0,FALSE,FALSE,NA,NA
4,RT @tonyromo: I wanna thank @DIRECTV for allowing me to show off my true self.  ;)  embarrassing is an understatement http://t.co/F0NniFESlL,FALSE,0,NA,10/20/2016 2:58,FALSE,NA,7.88937E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RealDiffSports,5265,TRUE,FALSE,NA,NA
5,@dalton_trigg @dallasmavs @DIRECTV STEP. UP. Direct TV.,FALSE,1,dalton_trigg,10/20/2016 1:21,FALSE,7.88913E+17,7.88913E+17,241259927,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NickAngstadt,0,FALSE,FALSE,NA,NA
6,@DIRECTV Please forward to all of your male employees. https://t.co/nAKxTU3x4W,FALSE,0,JessieJessup,10/20/2016 0:30,FALSE,7.88892E+17,7.889E+17,143313538,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JessieJessup,0,FALSE,FALSE,NA,NA
7,@DIRECTV your staff is really in need of updated training on how to behave around women AND how to respond to sexual harassment complaints,FALSE,0,JessieJessup,10/19/2016 23:59,FALSE,7.88892E+17,7.88892E+17,143313538,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JessieJessup,0,FALSE,FALSE,NA,NA
8,@DIRECTV I was sexually harassed by 3 members of your staff. I tried to handle this privately thru  website to no avail. Who can I email?,FALSE,0,DIRECTV,10/19/2016 23:58,FALSE,NA,7.88892E+17,14946736,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JessieJessup,0,FALSE,FALSE,NA,NA
9,RT @tonyromo: I wanna thank @DIRECTV for allowing me to show off my true self.  ;)  embarrassing is an understatement http://t.co/F0NniFESlL,FALSE,0,NA,10/19/2016 20:40,FALSE,NA,7.88842E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",azainzavala91,5265,TRUE,FALSE,NA,NA
10,@DIRECTV @DIRECTVService When are you going to offer NBA League Pass?  Season starts in 6 days. Prior years it was available for preseason!,FALSE,0,DIRECTV,10/19/2016 18:59,FALSE,NA,7.88817E+17,14946736,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RWileyUH,0,FALSE,FALSE,NA,NA
