,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,@MsTraCee6211 @Uverse @GetSpectrum  ugh bad service,FALSE,1,MsTraCee6211,10/20/2016 23:33,FALSE,7.89246E+17,7.89248E+17,27795046,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AngieVarnell,1,FALSE,FALSE,NA,NA
2,RT @Uverse: Who else is watching The #RockyHorrorPictureShowLIVE on @FOX? Tweet along as we do the <U+23F0> warp again. https://t.co/0Sztr7Ehil,FALSE,0,NA,10/20/2016 23:25,FALSE,NA,7.89246E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",VampWriterGRRL,1,TRUE,FALSE,NA,NA
3,RT @Uverse: The #13NightsOfHalloween begin TONIGHT on @FreeformTV with R.L. Stein's Monsterville: Cabinet of Souls at 7/6c! <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> https://t.co/…,FALSE,0,NA,10/19/2016 22:53,FALSE,NA,7.88876E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",CrystalMolteni,10,TRUE,FALSE,NA,NA
4,RT @Uverse: The #13NightsOfHalloween begin TONIGHT on @FreeformTV with R.L. Stein's Monsterville: Cabinet of Souls at 7/6c! <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> https://t.co/…,FALSE,0,NA,10/19/2016 22:46,FALSE,NA,7.88874E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lolatx1960,10,TRUE,FALSE,NA,NA
5,RT @Uverse: The #13NightsOfHalloween begin TONIGHT on @FreeformTV with R.L. Stein's Monsterville: Cabinet of Souls at 7/6c! <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> https://t.co/…,FALSE,0,NA,10/19/2016 22:36,FALSE,NA,7.88871E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",lneal0608,10,TRUE,FALSE,NA,NA
6,RT @Uverse: The #13NightsOfHalloween begin TONIGHT on @FreeformTV with R.L. Stein's Monsterville: Cabinet of Souls at 7/6c! <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> https://t.co/…,FALSE,0,NA,10/19/2016 22:35,FALSE,NA,7.88871E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Dabideeee37,10,TRUE,FALSE,NA,NA
7,RT @Uverse: The #13NightsOfHalloween begin TONIGHT on @FreeformTV with R.L. Stein's Monsterville: Cabinet of Souls at 7/6c! <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> https://t.co/…,FALSE,0,NA,10/19/2016 22:20,FALSE,NA,7.88868E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",atlantagirl101,10,TRUE,FALSE,NA,NA
8,RT @Uverse: The #13NightsOfHalloween begin TONIGHT on @FreeformTV with R.L. Stein's Monsterville: Cabinet of Souls at 7/6c! <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> https://t.co/…,FALSE,0,NA,10/19/2016 22:11,FALSE,NA,7.88865E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SimplyMcsteamy_,10,TRUE,FALSE,NA,NA
9,RT @Uverse: The #13NightsOfHalloween begin TONIGHT on @FreeformTV with R.L. Stein's Monsterville: Cabinet of Souls at 7/6c! <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> https://t.co/…,FALSE,0,NA,10/19/2016 22:08,FALSE,NA,7.88864E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NerdyJay_01,10,TRUE,FALSE,NA,NA
10,RT @Uverse: The #13NightsOfHalloween begin TONIGHT on @FreeformTV with R.L. Stein's Monsterville: Cabinet of Souls at 7/6c! <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> https://t.co/…,FALSE,0,NA,10/19/2016 22:07,FALSE,NA,7.88864E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hannahlaur3,10,TRUE,FALSE,NA,NA
11,RT @Uverse: The #13NightsOfHalloween begin TONIGHT on @FreeformTV with R.L. Stein's Monsterville: Cabinet of Souls at 7/6c! <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> https://t.co/…,FALSE,0,NA,10/19/2016 22:07,FALSE,NA,7.88864E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Delorisbecca,10,TRUE,FALSE,NA,NA
12,RT @Uverse: The #13NightsOfHalloween begin TONIGHT on @FreeformTV with R.L. Stein's Monsterville: Cabinet of Souls at 7/6c! <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> https://t.co/…,FALSE,0,NA,10/19/2016 22:06,FALSE,NA,7.88864E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FreeformTV,10,TRUE,FALSE,NA,NA
13,@Uverse I'm not paying anything bill until you get this service fixed. #notmeetingservicelevel #tiredofcallingcustomersupport #uversesucks,FALSE,0,Uverse,10/19/2016 4:34,FALSE,NA,7.88599E+17,398037232,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jpierceisme,0,FALSE,FALSE,NA,NA
14,"Dear @ATT and @Uverse, please stop center crop. If a movie was shot in 2.35:1 it should be broadcasted that way. I want my money back.",FALSE,0,NA,10/19/2016 2:48,FALSE,NA,7.88572E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Dig_Bill,0,FALSE,FALSE,NA,NA
15,Dear @Uverse I'm having all sorts of probs right now. Broadband mainly. But #Spectrum has moved into town. Hmm...how should I choose.,FALSE,0,NA,10/19/2016 2:01,FALSE,NA,7.88561E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KingDavidnDFW,0,FALSE,FALSE,NA,NA
16,@Uverse is your wifi down in Dallas?,FALSE,0,Uverse,10/19/2016 1:21,FALSE,NA,7.88551E+17,398037232,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MartinLong84,0,FALSE,FALSE,NA,NA
17,RT @Uverse: If Rachel didn’t get off the plane...<ed><U+00A0><U+00BD><ed><U+00B8><U+00A2> #AlternateScaryEnding #Friends https://t.co/JeBfSLmCD6,FALSE,0,NA,10/18/2016 23:18,FALSE,NA,7.8852E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",krissyanise,1,TRUE,FALSE,NA,NA
18,RT @Uverse: <ed><U+00A0><U+00BD><ed><U+00B2><U+008B> the <U+2744><U+FE0F> goodbye <ed><U+00A0><U+00BD><ed><U+00B1><U+008B> + catch #IceAge Collision Course OnDemand. https://t.co/jzwn0xrX8j https://t.co/WVs9FZcuTm,FALSE,0,NA,10/18/2016 18:28,FALSE,NA,7.88447E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1LilKeis,7,TRUE,FALSE,NA,NA
19,.@Uverse please don't email me about promotions that can't be applied to my account. 25 min on the phone &amp; you said no HBO #falseadvertising,FALSE,1,NA,10/18/2016 15:08,FALSE,NA,7.88396E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",aynsleytaylor,0,FALSE,FALSE,NA,NA
20,Switching to @Uverse...,FALSE,1,NA,10/18/2016 1:51,FALSE,NA,7.88196E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",willdogs,0,FALSE,FALSE,NA,NA
21,@out2lunch81 @Uverse @ATT I just now sent the DM.,FALSE,0,out2lunch81,10/17/2016 22:11,FALSE,7.88136E+17,7.8814E+17,19692978,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>",DJFriar,0,FALSE,FALSE,NA,NA
22,I guess @Uverse and @ATT make these reservations just for fun? No tech in site and internet is still down. Good thi… https://t.co/NUG7CrsxpH,FALSE,0,NA,10/17/2016 19:38,TRUE,NA,7.88102E+17,NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>",DJFriar,2,FALSE,FALSE,NA,NA
23,RT @Uverse: Which Halloween character is frighteningly fashion forward? <ed><U+00A0><U+00BD><ed><U+00B1><U+00BB>,FALSE,0,NA,10/16/2016 22:26,FALSE,NA,7.87782E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",The06Gentleman,1,TRUE,FALSE,NA,NA
24,@Uverse @NFL why can't I watch football on my phone in my house on the U-verse app?,FALSE,0,Uverse,10/16/2016 18:35,FALSE,NA,7.87724E+17,398037232,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MrJeremyR,0,FALSE,FALSE,NA,NA
25,Which creepy Halloween character would be your BFF? <ed><U+00A0><U+00BD><ed><U+00B1><U+00AD><ed><U+00A0><U+00BC><ed><U+00BE><U+0083> via @Uverse https://t.co/gXmXv6IWnk #attemployee,FALSE,0,NA,10/16/2016 14:00,FALSE,NA,7.87654E+17,NA,"<a href=""http://socialchorus.com"" rel=""nofollow"">SocialChorus</a>",Al_SMU,0,FALSE,FALSE,NA,NA
26,RT @Uverse: See the world differently. Don’t miss the premiere of VICE NEWS Tonight at 7:30pm on @HBO. https://t.co/6Vi468LXV3,FALSE,0,NA,10/16/2016 11:52,FALSE,NA,7.87622E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",watchmegoplaces,1,TRUE,FALSE,NA,NA
27,"RT @Vic_87: Thank you @Uverse @DIRECTV for wasting our time and day! Two weeks now waiting for installation, you're tech shows up to the wr…",FALSE,0,NA,10/16/2016 9:36,FALSE,NA,7.87588E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",charizarde7,4,TRUE,FALSE,NA,NA
28,"RT @Uverse: #PumpkinEverything. Fall into the season with @HallmarkChannel's <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> Pie Wars, tonight at 9/8c. https://t.co/JL7c6doPHq",FALSE,0,NA,10/16/2016 3:04,FALSE,NA,7.87489E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",denise_yorty,14,TRUE,FALSE,NA,NA
29,"RT @Uverse: #PumpkinEverything. Fall into the season with @HallmarkChannel's <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> Pie Wars, tonight at 9/8c. https://t.co/JL7c6doPHq",FALSE,0,NA,10/16/2016 1:35,FALSE,NA,7.87467E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mf711766,14,TRUE,FALSE,NA,NA
30,"RT @Uverse: #PumpkinEverything. Fall into the season with @HallmarkChannel's <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> Pie Wars, tonight at 9/8c. https://t.co/JL7c6doPHq",FALSE,0,NA,10/16/2016 1:14,FALSE,NA,7.87462E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",jenwatchesTV,14,TRUE,FALSE,NA,NA
31,"RT @Uverse: #PumpkinEverything. Fall into the season with @HallmarkChannel's <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> Pie Wars, tonight at 9/8c. https://t.co/JL7c6doPHq",FALSE,0,NA,10/16/2016 1:07,FALSE,NA,7.8746E+17,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",meeker_lori,14,TRUE,FALSE,NA,NA
32,"RT @Uverse: #PumpkinEverything. Fall into the season with @HallmarkChannel's <ed><U+00A0><U+00BC><ed><U+00BE><U+0083> Pie Wars, tonight at 9/8c. https://t.co/JL7c6doPHq",FALSE,0,NA,10/15/2016 23:56,FALSE,NA,7.87442E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",carol7375881,14,TRUE,FALSE,NA,NA
